Kanji,Hiragana,English,PronunciationURL
,しかし,However,https://minio.012140.xyz/jlpt/n5-vocabulary/0236_しかし.mp3
時間,じかん,Time,https://minio.012140.xyz/jlpt/n5-vocabulary/0237_じかん.mp3
仕事,しごと,Job,https://minio.012140.xyz/jlpt/n5-vocabulary/0238_しごと.mp3
辞書,じしょ,Dictionary,https://minio.012140.xyz/jlpt/n5-vocabulary/0239_じしょ.mp3
静か,しずか,Quiet,https://minio.012140.xyz/jlpt/n5-vocabulary/0240_しずか.mp3
下,した,Below,https://minio.012140.xyz/jlpt/n5-vocabulary/0241_した.mp3
七,しち,/ なな Seven,https://minio.012140.xyz/jlpt/n5-vocabulary/0242_しち.mp3
質問,しつもん,Question,https://minio.012140.xyz/jlpt/n5-vocabulary/0243_しつもん.mp3
自転車,じてんしゃ,Bicycle,https://minio.012140.xyz/jlpt/n5-vocabulary/0244_じてんしゃ.mp3
自動車,じどうしゃ,Automobile,https://minio.012140.xyz/jlpt/n5-vocabulary/0245_じどうしゃ.mp3
死ぬ,しぬ,to die,https://minio.012140.xyz/jlpt/n5-vocabulary/0246_しぬ.mp3
字引,じびき,Dictionary,https://minio.012140.xyz/jlpt/n5-vocabulary/0247_じびき.mp3
自分,じぶん,Oneself,https://minio.012140.xyz/jlpt/n5-vocabulary/0248_じぶん.mp3
閉まる,しまる,"to close, to be closed",https://minio.012140.xyz/jlpt/n5-vocabulary/0249_しまる.mp3
閉める,しめる,to close something,https://minio.012140.xyz/jlpt/n5-vocabulary/0250_しめる.mp3
締める,しめる,to tie,https://minio.012140.xyz/jlpt/n5-vocabulary/0250_しめる.mp3
写真,しゃしん,photograph,https://minio.012140.xyz/jlpt/n5-vocabulary/0252_しゃしん.mp3
十,じゅう,とお Ten,https://minio.012140.xyz/jlpt/n5-vocabulary/0253_じゅう.mp3
授業,じゅぎょう,"lesson, class work",https://minio.012140.xyz/jlpt/n5-vocabulary/0254_じゅぎょう.mp3
宿題,しゅくだい,homework,https://minio.012140.xyz/jlpt/n5-vocabulary/0255_しゅくだい.mp3
上手,じょうず,Skillful,https://minio.012140.xyz/jlpt/n5-vocabulary/0256_じょうず.mp3
丈夫,じょうぶ,"strong, durable",https://minio.012140.xyz/jlpt/n5-vocabulary/0257_じょうぶ.mp3
食堂,しょくどう,dining hall,https://minio.012140.xyz/jlpt/n5-vocabulary/0258_しょくどう.mp3
知る,しる,to know,https://minio.012140.xyz/jlpt/n5-vocabulary/0259_しる.mp3
白,しろ,White,https://minio.012140.xyz/jlpt/n5-vocabulary/0260_しろ.mp3
白い,しろい,White,https://minio.012140.xyz/jlpt/n5-vocabulary/0261_しろい.mp3
新聞,しんぶん,newspaper,https://minio.012140.xyz/jlpt/n5-vocabulary/0262_しんぶん.mp3
水曜日,すいようび,Wednesday,https://minio.012140.xyz/jlpt/n5-vocabulary/0263_すいようび.mp3
吸う,すう,"to smoke, to suck",https://minio.012140.xyz/jlpt/n5-vocabulary/0264_すう.mp3
好き,すき,Likeable,https://minio.012140.xyz/jlpt/n5-vocabulary/0265_すき.mp3
少ない,すくない,a few,https://minio.012140.xyz/jlpt/n5-vocabulary/0266_すくない.mp3
,すぐに,Instantly,https://minio.012140.xyz/jlpt/n5-vocabulary/0267_すぐに.mp3
少し,すこし,Few,https://minio.012140.xyz/jlpt/n5-vocabulary/0268_すこし.mp3
涼しい,すずしい,Refreshing,https://minio.012140.xyz/jlpt/n5-vocabulary/0269_すずしい.mp3
住む,すむ,to live in,https://minio.012140.xyz/jlpt/n5-vocabulary/0270_すむ.mp3
座る,すわる,to sit,https://minio.012140.xyz/jlpt/n5-vocabulary/0271_すわる.mp3
背,せ,"height, stature",https://minio.012140.xyz/jlpt/n5-vocabulary/0272_せ.mp3
生徒,せいと,Pupil,https://minio.012140.xyz/jlpt/n5-vocabulary/0273_せいと.mp3
,せっけん,Economy,https://minio.012140.xyz/jlpt/n5-vocabulary/0274_せっけん.mp3
背広,せびろ,business suit,https://minio.012140.xyz/jlpt/n5-vocabulary/0275_せびろ.mp3
狭い,せまい,Narrow,https://minio.012140.xyz/jlpt/n5-vocabulary/0276_せまい.mp3
千,せん,Thousand,https://minio.012140.xyz/jlpt/n5-vocabulary/0277_せん.mp3
先月,せんげつ,last month,https://minio.012140.xyz/jlpt/n5-vocabulary/0278_せんげつ.mp3
